"TEAM","X.","NAME","POSITION","BATS","THROWS","YR","STATUS","HEIGHT","WEIGHT","HOMETOWN","URL","SEASON","bbref_id","birth_date","LastName","FirstName","Name_","bbref_link"
"Schaumburg Boomers",30,"Cristian Lopez","RHP","R","R","Pro-2","Active","6'2",230,"Santa Ana, CA","https://frontierleague.com/sports/bsb/2023-24/players/cristianlopez880p",2024,"lopez-008chr",10167,"Lopez","Cristian","Cristian Lopez","/register/player.fcgi?id=lopez-008chr"
"Schaumburg Boomers",98,"Daiveyon Whittle","RHP","R","R","Pro-1","Inactive","6'0",265,"Fresno, CA","https://frontierleague.com/sports/bsb/2023-24/players/daiveyonwhittleyml5",2024,"whittl000dai",10906,"Whittle","Daiveyon","Daiveyon Whittle","/register/player.fcgi?id=whittl000dai"
"Schaumburg Boomers",34,"Dallas Woolfolk","RHP","R","R","Exp-1","Active","6'2",225,"Southaven, MS","https://frontierleague.com/sports/bsb/2023-24/players/dallaswoolfolk2f39",2024,,,,,,
"Schaumburg Boomers",32,"Daniel Paret","LHP","L","L","Pro-1","Active","6'3",210,"Miami Lakes, FL","https://frontierleague.com/sports/bsb/2023-24/players/danielparet69l5",2024,,,,,,
"Schaumburg Boomers",21,"David Harris","OF","R","R","Veteran","Injured","6'0",195,"Houston, TX","https://frontierleague.com/sports/bsb/2023-24/players/davidharrisgw3j",2024,,,,,,
"Schaumburg Boomers",12,"Dylan Stutsman","RHP","R","R","Exp-1","Active","5'11",195,"Bloomington, IN","https://frontierleague.com/sports/bsb/2023-24/players/dylanstutsmanqvon",2024,"stutsm000dyl",9613,"Stutsman","Dylan","Dylan Stutsman","/register/player.fcgi?id=stutsm000dyl"
"Schaumburg Boomers",90,"Evan Orzech","C","L","R","Pro-1","Inactive","6'0",190,"Shorewood, IL","https://frontierleague.com/sports/bsb/2023-24/players/evanorzechknul",2024,,,,,,
"Schaumburg Boomers",91,"Felix Aberouette","C","R","R","Pro-1","Inactive","6'2",225,"San Bruno, CA","https://frontierleague.com/sports/bsb/2023-24/players/felixaberouettebjyh",2024,"aberou000fel",,"Aberouette","Felix",,"/register/player.fcgi?id=aberou000fel"
"Schaumburg Boomers",28,"Hambleton Oliver","RHP","R","R","Proi-1","Active","6'2",220,"Corpus Christi, TX","https://frontierleague.com/sports/bsb/2023-24/players/hambletonolivermne6",2024,,,,,,
"Schaumburg Boomers",86,"Isaiah Rivera","RHP","L","R","Pro-2","Inactive","6'2",200,"Des Plaines, IL","https://frontierleague.com/sports/bsb/2023-24/players/isaiahriveracn93",2024,"rivera001isa",10372,"Rivera","Isaiah","Isaiah Rivera","/register/player.fcgi?id=rivera001isa"
"Schaumburg Boomers",85,"Jackson Hickert","RHP","R","R","Pro-2","Inactive","6'3",220,"Ballwin, MO","https://frontierleague.com/sports/bsb/2023-24/players/jacksonhickert2y3q",2024,"hicker000jac",10281,"Hickert","Jackson","Jackson Hickert","/register/player.fcgi?id=hicker000jac"
"Schaumburg Boomers",25,"Jacob Smith","LHP","L","L","Pro-1","Active","6'8",240,"Calera, AL","https://frontierleague.com/sports/bsb/2023-24/players/jacobsmithmxon",2024,"smith-039jac",,"Smith","Jacob",,"/register/player.fcgi?id=smith-039jac"
"Schaumburg Boomers",26,"Jake Joyce","RHP","R","R","Veteran","Active","6'0",195,"Wheeling, IL","https://frontierleague.com/sports/bsb/2023-24/players/jakejoycemu3v",2024,"joyce-000jak",7900,"Joyce","Jake","Jake Joyce","/register/player.fcgi?id=joyce-000jak"
"Schaumburg Boomers",16,"Jake Meyer","C","R","R","Pro-1","Active","6?1",200,"Scottsdale, AZ","https://frontierleague.com/sports/bsb/2023-24/players/jakemeyerufu3",2024,,,,,,
"Schaumburg Boomers",84,"John Fiorenza","C","R","R","Pro-2","Inactive","6'0",195,"Yankeetown, FL","https://frontierleague.com/sports/bsb/2023-24/players/johnfiorenza08ww",2024,"fioren000joh",10807,"Fiorenza","John","John Fiorenza","/register/player.fcgi?id=fioren000joh"
"Schaumburg Boomers",80,"John Wilson","LHP","L","L","Pro-2","Injured","6'1",215,"Annadale, NJ","https://frontierleague.com/sports/bsb/2023-24/players/johnwilson2026",2024,"wilson029joh",,"Wilson","John",,"/register/player.fcgi?id=wilson029joh"
"Schaumburg Boomers",87,"Kobey Schlotman","LHP","L","L","Pro-2","Inactive","5'10",180,"Coralville, IA","https://frontierleague.com/sports/bsb/2023-24/players/kobeyschlotman6z0q",2024,"schlot000kob",10721,"Schlotman","Kobey","Kobey Schlotman","/register/player.fcgi?id=schlot000kob"
"Schaumburg Boomers",5,"Kyle Fitzgerald","UT","R","R","Pro-2","Active","6'0",210,"Brookfield, IL","https://frontierleague.com/sports/bsb/2023-24/players/kylefitzgerald5dkj",2024,"fitzge000kyl",10690,"Fitzgerald","Kyle","Kyle Fitzgerald","/register/player.fcgi?id=fitzge000kyl"
"Schaumburg Boomers",89,"Luis Perez","RHP","R","R","Exp-2","Inactive","6'0",175,"Sabana Grande, DR","https://frontierleague.com/sports/bsb/2023-24/players/luisperezr7z0",2024,"perez-020lui",9253,"Perez","Luis","Luis P̩rez","/register/player.fcgi?id=perez-020lui"
"Schaumburg Boomers",13,"Matt Helwig","RHP","R","R","Pro-1","Active","5'11",210,"Mokena, IL","https://frontierleague.com/sports/bsb/2023-24/players/matthelwigi3xs",2024,"helwig000mat",,"Helwig","Matt",,"/register/player.fcgi?id=helwig000mat"
"Schaumburg Boomers",14,"Mitch White","RHP","R","R","Pro-1","Active","6'1",186,"Livonia, MI","https://frontierleague.com/sports/bsb/2023-24/players/mitchwhiteboc4",2024,"white-001mit",,"White","Mitch",,"/register/player.fcgi?id=white-001mit"
"Schaumburg Boomers",83,"Nolan Pender","RHP","R","R","Pro-1","Inactive","6'3",230,"Louisville, KY","https://frontierleague.com/sports/bsb/2023-24/players/nolanpender03q9",2024,,,,,,
"Schaumburg Boomers",19,"Paxton Wallace","INF","R","R","Pro-2","Active","6'0",220,"Greenbrier, AR","https://frontierleague.com/sports/bsb/2023-24/players/paxtonwallace3x8j",2024,,,,,,
"Schaumburg Boomers",92,"Peter Tveite","RHP","R","R","Pro-1","Inactive","6'1",185,"Lakeville, MN","https://frontierleague.com/sports/bsb/2023-24/players/petertveitephpf",2024,,,,,,
"Schaumburg Boomers",99,"Ryan McCarthy","OF","L","R","Pro-2","Inactive","6'3",225,"Jacksonville, FL","https://frontierleague.com/sports/bsb/2023-24/players/ryanmccarthyye0r",2024,"mccart005rya",,"McCarthy","Ryan",,"/register/player.fcgi?id=mccart005rya"
"Schaumburg Boomers",94,"Seth Gray","INF","L","R","Exp-1","Inactive","6'4",225,"Springfield, OH","https://frontierleague.com/sports/bsb/2023-24/players/sethgrayn74w",2024,"gray--000set",,"Gray","Seth",,"/register/player.fcgi?id=gray--000set"
"Schaumburg Boomers",88,"Ty Crittenberger","OF","R","R","Pro-1","Inactive","5'10",185,"Lighthouse Point, FL","https://frontierleague.com/sports/bsb/2023-24/players/tycrittenberger2fvy",2024,,,,,,
"Schaumburg Boomers",8,"Tyler Depreta-Johnson","INF","R","R","Exp-2","Active","5'9",175,"Rancho Santa Margarita, CA","https://frontierleague.com/sports/bsb/2023-24/players/tylerdepretajohnsona8am",2024,"depret000tyl",9626,"DepretaJohnson","Tyler","Tyler Depreta-Johnson","/register/player.fcgi?id=depret000tyl"
"Schaumburg Boomers",95,"Tyler Yotkewich","RHP","R","R","Pro-1","Inactive","6'3",215,"Johnson City, IL","https://frontierleague.com/sports/bsb/2023-24/players/tyleryotkewich2c2i",2024,,,,,,
"Schaumburg Boomers",10,"Will Prater","INF","L","R","Pro-2","Injured","6'2",180,"Dallas, GA","https://frontierleague.com/sports/bsb/2023-24/players/willprateru0c3",2024,"prater000wil",10615,"Prater","Will","Will Prater","/register/player.fcgi?id=prater000wil"
"Schaumburg Boomers",93,"Willie Joe Garry","OF","L","L","Pro-1","Inactive","6'0",190,"Pascagoula, MS","https://frontierleague.com/sports/bsb/2023-24/players/williejoegarrymwa0",2024,,,,,,
